,permutation,shap,loco,cmr,mean_rank
c_net_annual_income,4.333333333333333,5.0,1.0,4.333333333333333,3.666666666666666
c_percent_10_years_or_more,1.0,1.0,18.0,1.0,5.25
c_percent_mixed,2.6666666666666665,3.3333333333333335,17.666666666666668,2.6666666666666665,6.583333333333334
e_leaf_area_index_low_vegetation,6.0,19.0,2.0,6.0,8.25
c_percent_commute_bicycle,10.0,10.0,13.0,10.0,10.75
e_surface_thermal_radiation_downwards_sum,4.666666666666667,3.6666666666666665,33.333333333333336,4.666666666666667,11.583333333333334
c_percent_tfw_less_than_2km,13.333333333333334,6.666666666666667,18.0,11.333333333333334,12.333333333333334
e_lake_mix_layer_depth,11.0,20.333333333333332,11.0,11.0,13.333333333333332
e_no2,2.3333333333333335,2.0,48.666666666666664,2.3333333333333335,13.833333333333334
c_percent_commute_bus,11.666666666666666,14.333333333333334,18.666666666666668,11.0,13.916666666666668
