,permutation,shap,loco,cmr,mean_rank
c_net_annual_income,5.0,7.0,1.3333333333333333,4.666666666666667,4.5
c_percent_no_religion,5.666666666666667,5.0,15.0,6.0,7.916666666666667
c_percent_asian,3.0,4.0,26.333333333333332,3.0,9.083333333333332
c_percent_commute_bus,8.666666666666666,6.666666666666667,14.333333333333334,8.333333333333334,9.5
c_percent_mixed,2.0,2.0,33.0,2.0,9.75
e_leaf_area_index_low_vegetation,7.333333333333333,20.666666666666668,3.3333333333333335,8.0,9.833333333333332
e_surface_thermal_radiation_downwards_sum,4.333333333333333,3.0,31.666666666666668,4.333333333333333,10.833333333333334
c_percent_commute_bicycle,13.0,13.666666666666666,19.333333333333332,12.0,14.5
e_lake_mix_layer_depth,11.333333333333334,17.666666666666668,21.666666666666668,11.0,15.416666666666668
e_no2,1.0,1.0,62.666666666666664,1.0,16.416666666666664
