,permutation,shap,loco,cmr,mean_rank
c_percent_white,1.0,1.0,1.0,1.0,1.0
e_surface_solar_radiation_downwards_sum,2.3333333333333335,3.0,6.0,2.3333333333333335,3.416666666666667
c_percent_commute_bus,5.0,4.666666666666667,2.0,4.666666666666667,4.083333333333334
e_surface_thermal_radiation_downwards_sum,2.6666666666666665,2.3333333333333335,9.666666666666666,2.6666666666666665,4.333333333333333
e_snow_density,4.333333333333333,4.666666666666667,7.333333333333333,5.0,5.333333333333333
e_lake_mix_layer_temperature,6.0,6.0,6.333333333333333,6.0,6.083333333333333
e_evaporation_from_the_top_of_canopy_sum,8.333333333333334,7.333333333333333,6.333333333333333,8.0,7.5
e_surface_net_solar_radiation_sum,7.0,7.666666666666667,10.0,7.0,7.916666666666667
e_evaporation_from_open_water_surfaces_excluding_oceans_sum,10.0,9.0,4.0,9.666666666666666,8.166666666666666
c_percent_married_or_in_a_registered_civil_partnership,11.0,11.0,3.0,11.0,9.0
