,permutation,shap,loco,cmr,mean_rank
c_net_annual_income,2.6666666666666665,4.0,1.0,3.0,2.6666666666666665
c_percent_2._professional_occupations,6.0,4.0,7.666666666666667,6.0,5.916666666666667
e_surface_thermal_radiation_downwards_sum,1.0,1.0,29.333333333333332,1.0,8.083333333333332
c_percent_mixed,4.666666666666667,4.0,20.333333333333332,4.666666666666667,8.416666666666666
c_percent_commute_metro_rail,9.0,7.333333333333333,9.666666666666666,9.0,8.75
e_no2,3.3333333333333335,2.0,27.333333333333332,3.3333333333333335,9.0
e_lake_mix_layer_depth,7.666666666666667,11.333333333333334,12.0,8.666666666666666,9.916666666666666
e_total_aerosol_optical_depth_at_550nm_surface,3.3333333333333335,6.0,28.0,3.0,10.083333333333334
e_evaporation_from_the_top_of_canopy_sum,12.333333333333334,12.666666666666666,7.666666666666667,11.0,10.916666666666666
c_percent___can_speak_english_very_well,10.666666666666666,14.0,9.333333333333334,11.333333333333334,11.333333333333334
