,permutation,shap,loco,cmr,mean_rank
c_net_annual_income,4.333333333333333,7.333333333333333,1.0,4.666666666666667,4.333333333333333
c_percent_commute_car,1.6666666666666667,1.6666666666666667,12.666666666666666,1.6666666666666667,4.416666666666667
c_percent_commute_bus,5.0,4.666666666666667,16.666666666666668,5.333333333333333,7.916666666666667
e_leaf_area_index_high_vegetation,8.333333333333334,13.0,3.0,8.333333333333334,8.166666666666668
c_percent_tfw_2km_to_5km,9.666666666666666,13.333333333333334,3.3333333333333335,9.666666666666666,9.0
c_percent_mixed,3.0,4.0,31.666666666666668,3.0,10.416666666666668
e_lake_mix_layer_depth,10.0,16.0,8.333333333333334,9.666666666666666,11.0
e_no2,1.3333333333333333,1.3333333333333333,43.0,1.3333333333333333,11.75
c_percent_10_years_or_more,8.0,7.0,27.666666666666668,8.333333333333334,12.750000000000002
c_percent_commute_metro_rail,13.0,10.666666666666666,15.666666666666666,15.0,13.583333333333332
