,permutation,shap,loco,cmr,mean_rank
e_leaf_area_index_low_vegetation,3.0,5.0,11.333333333333334,3.3333333333333335,5.666666666666667
c_net_annual_income,6.666666666666667,10.0,3.0,6.666666666666667,6.583333333333334
c_percent_8._process_plant_and_machine_operatives,1.0,1.0,28.0,1.0,7.75
c_percent_commute_bus,10.0,6.333333333333333,10.666666666666666,10.0,9.25
c_percent_commute_bicycle,2.0,2.6666666666666665,33.666666666666664,2.0,10.083333333333332
c_percent_student_moved_to_address,9.666666666666666,8.666666666666666,17.0,9.666666666666666,11.249999999999998
e_lake_mix_layer_depth,11.666666666666666,16.333333333333332,15.666666666666666,11.333333333333334,13.75
c_percent_tfw_2km_to_5km,15.333333333333334,22.0,3.0,15.0,13.833333333333334
c_percent_5._skilled_trades_occupations,9.666666666666666,6.666666666666667,33.333333333333336,10.333333333333334,15.000000000000002
c_percent_asian,5.0,4.0,52.0,5.333333333333333,16.583333333333332
