,permutation,shap,loco,cmr,mean_rank
c_percent_10_years_or_more,3.3333333333333335,5.333333333333333,7.0,3.0,4.666666666666666
c_percent_wfh,2.6666666666666665,2.6666666666666665,12.666666666666666,3.3333333333333335,5.333333333333333
e_surface_thermal_radiation_downwards_sum,1.0,1.0,21.666666666666668,1.0,6.166666666666667
e_no2,4.0,2.3333333333333335,15.0,3.6666666666666665,6.250000000000001
c_percent_commute_bicycle,9.0,4.0,5.333333333333333,8.333333333333334,6.666666666666666
c_percent_commute_bus,10.0,8.333333333333334,2.6666666666666665,10.333333333333334,7.833333333333334
e_evaporation_from_the_top_of_canopy_sum,7.333333333333333,7.0,11.666666666666666,7.666666666666667,8.416666666666666
e_lake_mix_layer_temperature,7.0,13.333333333333334,7.333333333333333,6.0,8.416666666666668
e_temperature_2m,4.666666666666667,13.666666666666666,18.0,5.0,10.333333333333332
e_surface_runoff_sum,8.666666666666666,8.0,16.333333333333332,9.0,10.5
